City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Joao Pinheiro,-17.7425,-46.1725,64.2,52,0,7.11,BR,clear sky
1,Tuatapere,-46.1333,167.6833,48.13,75,6,4.07,NZ,clear sky
2,Mataura,-46.1927,168.8643,46.47,89,68,1.19,NZ,broken clouds
3,Bluff,-46.6,168.3333,46.8,71,61,7.05,NZ,broken clouds
4,Derzhavinsk,51.1,66.3167,73.78,52,100,10.83,KZ,overcast clouds
5,Airai,-8.9266,125.4092,72.12,42,76,3.98,TL,broken clouds
6,Cape Town,-33.9258,18.4232,59.38,73,0,9.22,ZA,clear sky
7,East London,-33.0153,27.9116,56.34,88,20,5.75,ZA,few clouds
8,Rikitea,-23.1203,-134.9692,71.78,59,91,19.8,PF,overcast clouds
9,Kodiak,57.79,-152.4072,53.11,76,100,8.05,US,light rain
10,Port Alfred,-33.5906,26.891,58.19,75,84,4.72,ZA,broken clouds
11,Torbay,47.6666,-52.7314,56.75,94,100,20.71,CA,mist
12,Port Blair,11.6667,92.75,86.04,79,40,6.91,IN,scattered clouds
13,Georgetown,5.4112,100.3354,87.73,74,20,3.44,MY,few clouds
14,Chuy,-33.6971,-53.4616,43.41,73,26,5.39,UY,light rain
15,Tuktoyaktuk,69.4541,-133.0374,35.6,87,75,10.36,CA,broken clouds
16,Lima,-12.0432,-77.0282,57.45,88,75,12.66,PE,mist
17,Carnarvon,-24.8667,113.6333,70.16,59,0,13.73,AU,clear sky
18,Hofn,64.2539,-15.2082,53.31,77,53,11.01,IS,broken clouds
19,Surt,31.2089,16.5887,73.9,70,0,11.81,LY,clear sky
20,Spokane,47.6166,-117.3677,61.21,52,20,6.91,US,few clouds
21,Urubicha,-15.3833,-62.95,67.48,88,0,1.25,BO,clear sky
22,Benghazi,32.1167,20.0667,75.58,52,0,5.37,LY,clear sky
23,Ushuaia,-54.8,-68.3,31.66,93,100,1.14,AR,light snow
24,Bintulu,3.1667,113.0333,84.61,79,40,2.3,MY,scattered clouds
25,Antofagasta,-23.65,-70.4,54.68,74,16,3.76,CL,few clouds
26,Gravdal,68.1214,13.5031,48.63,94,100,10.98,NO,overcast clouds
27,Ponta Do Sol,32.6667,-17.1,68.0,66,89,8.79,PT,overcast clouds
28,Katsuura,35.1333,140.3,75.45,85,100,16.87,JP,overcast clouds
29,Nikolskoye,59.7035,30.7861,55.29,77,31,8.48,RU,scattered clouds
30,Busselton,-33.65,115.3333,63.9,76,83,11.3,AU,broken clouds
31,Qaanaaq,77.484,-69.3632,33.75,81,35,7.23,GL,scattered clouds
32,Luwuk,-0.9516,122.7875,80.92,78,99,4.56,ID,overcast clouds
33,Bengkulu,-3.8004,102.2655,79.41,85,60,10.54,ID,broken clouds
34,Grindavik,63.8424,-22.4338,48.67,100,100,14.97,IS,drizzle
35,Alofi,-19.0595,-169.9187,80.49,81,75,5.75,NU,shower rain
36,Hobart,-42.8794,147.3294,57.22,76,75,9.22,AU,broken clouds
37,Bredasdorp,-34.5322,20.0403,47.91,87,0,3.58,ZA,clear sky
38,Avarua,-21.2078,-159.775,77.05,78,75,14.97,CK,broken clouds
39,Atuona,-9.8,-139.0333,77.81,78,30,17.25,PF,scattered clouds
40,Kaduy,59.2,37.15,50.63,79,51,8.99,RU,broken clouds
41,Tres Arroyos,-38.3739,-60.2798,38.28,84,17,5.5,AR,few clouds
42,Bodden Town,19.2833,-81.25,82.4,78,100,11.5,KY,overcast clouds
43,Puerto Ayora,-0.7393,-90.3518,70.56,96,90,1.99,EC,overcast clouds
44,Saskylakh,71.9167,114.0833,52.34,40,30,6.87,RU,scattered clouds
45,Tasiilaq,65.6145,-37.6368,41.16,68,75,5.99,GL,broken clouds
46,Moorhead,46.8739,-96.7676,93.22,40,0,20.71,US,clear sky
47,New Norfolk,-42.7826,147.0587,56.88,79,97,1.99,AU,overcast clouds
48,Mount Gambier,-37.8333,140.7667,51.71,93,100,13.8,AU,overcast clouds
49,Port Hardy,50.6996,-127.4199,55.58,71,75,8.05,CA,broken clouds
50,Buraydah,26.326,43.975,86.45,11,5,8.68,SA,clear sky
51,Marrakesh,31.6315,-8.0083,69.87,64,0,6.91,MA,clear sky
52,Matamoros,25.5333,-103.25,86.11,37,75,16.11,MX,broken clouds
53,Chokurdakh,70.6333,147.9167,39.58,78,100,21.99,RU,overcast clouds
54,Sao Filipe,14.8961,-24.4956,73.85,94,100,11.9,CV,light rain
55,Khovu-Aksy,51.1333,93.6,65.73,47,15,3.85,RU,few clouds
56,Saint-Philippe,-21.3585,55.7679,63.99,76,77,15.1,RE,light rain
57,Hermanus,-34.4187,19.2345,44.8,85,0,12.53,ZA,clear sky
58,Port Lincoln,-34.7333,135.8667,59.34,56,100,18.57,AU,light rain
59,Rabak,13.1809,32.74,79.59,63,100,17.31,SD,overcast clouds
60,Jiwani,25.05,61.7417,84.24,81,10,8.43,PK,clear sky
61,Swellendam,-34.0226,20.4417,47.37,87,16,3.83,ZA,few clouds
62,Nogliki,51.8333,143.1667,52.34,82,67,10.22,RU,broken clouds
63,Mahebourg,-20.4081,57.7,68.25,88,40,4.61,MU,light intensity shower rain
64,Salalah,17.0151,54.0924,84.29,89,75,9.22,OM,broken clouds
65,Pisco,-13.7,-76.2167,60.85,88,75,3.44,PE,mist
66,Flagstaff,35.1981,-111.6513,65.86,15,0,8.05,US,clear sky
67,Butaritari,3.0707,172.7902,82.98,73,99,13.53,KI,overcast clouds
68,Hamilton,39.1834,-84.5333,65.98,68,0,0.0,US,clear sky
69,Broken Hill,-31.95,141.4333,63.16,35,76,13.49,AU,broken clouds
70,Half Moon Bay,37.4636,-122.4286,67.77,76,0,21.85,US,mist
71,Jamestown,42.097,-79.2353,58.64,71,0,4.61,US,clear sky
72,Russell,32.3502,-85.1999,80.2,73,0,0.0,US,clear sky
73,Praia,14.9215,-23.5087,75.15,92,100,8.9,CV,light rain
74,Uzhur,55.3036,89.8339,60.3,81,100,1.61,RU,light rain
75,Dalvik,65.9702,-18.5286,55.33,98,100,6.26,IS,overcast clouds
76,Changying,52.8733,123.3213,57.29,96,100,11.03,CN,moderate rain
77,Carballo,43.213,-8.691,55.9,94,100,3.56,ES,overcast clouds
78,Ouegoa,-20.35,164.4333,74.79,54,2,9.48,NC,clear sky
79,Punta Arenas,-53.15,-70.9167,35.71,80,0,12.66,CL,clear sky
80,Olafsvik,64.8945,-23.7142,48.22,93,100,10.78,IS,overcast clouds
81,Emba,48.8264,58.1442,69.62,54,61,15.64,KZ,broken clouds
82,Kilinochchi,9.3961,80.3982,87.26,63,97,12.21,LK,overcast clouds
83,Gornyy,55.1153,83.9059,65.75,73,40,5.28,RU,scattered clouds
84,Nedjo,9.5046,35.5019,56.41,98,100,2.8,ET,overcast clouds
85,General Pico,-35.6566,-63.7568,47.08,63,100,6.17,AR,overcast clouds
86,Ancud,-41.8697,-73.8203,41.23,89,99,6.78,CL,overcast clouds
87,Vaini,-21.2,-175.2,82.56,83,40,20.71,TO,scattered clouds
88,Jalu,29.0331,21.5482,76.73,41,0,4.9,LY,clear sky
89,Khash,28.2211,61.2158,83.23,20,2,18.12,IR,clear sky
90,Maniwaki,46.3834,-75.966,57.58,47,25,5.75,CA,scattered clouds
91,Cherskiy,68.75,161.3,66.2,31,100,14.0,RU,overcast clouds
92,Quatre Cocos,-20.2078,57.7625,68.09,69,3,12.1,MU,clear sky
93,Lobez,53.6392,15.6213,53.69,90,97,3.91,PL,overcast clouds
94,Camacari,-12.6975,-38.3242,78.57,91,56,7.11,BR,broken clouds
95,Souillac,-20.5167,57.5167,66.58,88,40,4.61,MU,light intensity shower rain
96,Outjo,-20.1167,16.15,40.68,91,57,6.76,NA,broken clouds
97,Clyde River,70.4692,-68.5914,32.23,86,100,23.02,CA,overcast clouds
98,Dalianwan,39.0286,121.695,77.04,78,75,8.95,CN,broken clouds
99,Mandan,46.8267,-100.8896,87.78,70,0,9.22,US,clear sky
100,Calbuco,-41.768,-73.1273,45.61,84,100,10.51,CL,overcast clouds
101,Vao,-22.6667,167.4833,70.95,56,8,17.31,NC,clear sky
102,Lompoc,34.6391,-120.4579,62.74,71,0,13.8,US,clear sky
103,Sitka,57.0531,-135.33,51.69,87,100,10.36,US,light rain
104,Mandera,3.9366,41.867,75.43,59,55,15.39,KE,broken clouds
105,Faanui,-16.4833,-151.75,79.7,76,24,21.16,PF,light rain
106,Dabakala,8.3667,-4.4333,72.28,86,34,3.11,CI,scattered clouds
107,Mareeba,-17.0,145.4333,75.49,57,23,8.05,AU,few clouds
108,Puerto Baquerizo Moreno,-0.9,-89.6,70.27,90,91,11.59,EC,overcast clouds
109,Hirara,24.8,125.2833,88.07,79,75,18.41,JP,broken clouds
110,Roma,43.2128,-75.4557,52.72,84,1,4.61,US,clear sky
111,Saint Anthony,45.0205,-93.218,88.75,59,0,13.8,US,clear sky
112,Steamboat Springs,40.485,-106.8317,62.19,68,40,9.22,US,scattered clouds
113,Yellowknife,62.456,-114.3525,70.32,24,20,11.5,CA,few clouds
114,Bosaso,11.2842,49.1816,92.55,36,83,20.83,SO,broken clouds
115,Ajdabiya,30.7554,20.2263,72.99,54,0,2.08,LY,clear sky
116,Kapaa,22.0752,-159.319,82.38,82,75,11.5,US,broken clouds
117,Whitehorse,60.7161,-135.0538,63.37,30,75,12.66,CA,broken clouds
118,Khatanga,71.9667,102.5,55.62,39,100,5.35,RU,overcast clouds
119,Acari,-15.4311,-74.6158,62.47,73,32,2.24,PE,scattered clouds
120,Yuzhou,34.1628,113.4639,101.43,23,2,11.32,CN,clear sky
121,Midland,31.9974,-102.0779,86.25,36,0,14.97,US,clear sky
122,Albany,42.6001,-73.9662,59.41,60,2,5.01,US,clear sky
123,Solnechnyy,50.7214,136.6319,63.88,69,98,5.06,RU,overcast clouds
124,Mahuva,21.0914,71.7622,88.11,65,54,11.7,IN,broken clouds
125,Ust-Ilimsk,58.0006,102.6619,60.19,87,100,6.96,RU,overcast clouds
126,Shache,38.4167,77.2406,73.58,38,99,3.33,CN,light rain
127,Pizarro,4.9533,-77.366,76.87,90,98,5.26,CO,moderate rain
128,Acapulco,16.8634,-99.8901,82.22,78,100,8.05,MX,overcast clouds
129,Celestun,20.8667,-90.4,79.05,82,99,15.14,MX,overcast clouds
130,Kalmunai,7.4167,81.8167,84.76,70,97,3.98,LK,overcast clouds
131,Dikson,73.5069,80.5464,36.86,92,100,11.14,RU,overcast clouds
132,Tautira,-17.7333,-149.15,78.51,74,41,19.44,PF,scattered clouds
133,Vanavara,60.34,102.2797,66.02,43,95,10.76,RU,overcast clouds
134,Carutapera,-1.195,-46.02,74.75,93,77,5.46,BR,broken clouds
135,Besikduzu,41.052,39.2284,71.49,86,96,1.5,TR,overcast clouds
136,Tirthahalli,13.7,75.2333,76.48,72,100,7.25,IN,overcast clouds
137,Portoferraio,42.8115,10.3146,69.17,64,0,12.53,IT,clear sky
138,Arraial Do Cabo,-22.9661,-42.0278,68.65,74,28,11.27,BR,scattered clouds
