City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
22,Benghazi,LY,75.58,clear sky,32.1167,20.0667,Tibesti Hotel
24,Bintulu,MY,84.61,scattered clouds,3.1667,113.0333,900 Boutique INN
28,Katsuura,JP,75.45,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
32,Luwuk,ID,80.92,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
33,Bengkulu,ID,79.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Alofi,NU,80.49,shower rain,-19.0595,-169.9187,Taloa Heights
38,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
39,Atuona,PF,77.81,scattered clouds,-9.8,-139.0333,Villa Enata
42,Bodden Town,KY,82.4,overcast clouds,19.2833,-81.25,Will T Place
59,Rabak,SD,79.59,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
60,Jiwani,PK,84.24,clear sky,25.05,61.7417,Hamza hotel jiwani
64,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
67,Butaritari,KI,82.98,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Russell,US,80.2,clear sky,32.3502,-85.1999,Macs
73,Praia,CV,75.15,light rain,14.9215,-23.5087,LT Aparthotel
87,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
88,Jalu,LY,76.73,clear sky,29.0331,21.5482,صاحبة الفخامة
89,Khash,IR,83.23,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
94,Camacari,BR,78.57,broken clouds,-12.6975,-38.3242,Sítio Blasi
98,Dalianwan,CN,77.04,broken clouds,39.0286,121.695,Huanghai Hotel
104,Mandera,KE,75.43,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
105,Faanui,PF,79.7,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Mareeba,AU,75.49,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
116,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
127,Pizarro,CO,76.87,moderate rain,4.9533,-77.366,Hotel Limonar
128,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
129,Celestun,MX,79.05,overcast clouds,20.8667,-90.4,Posada Lilia
130,Kalmunai,LK,84.76,overcast clouds,7.4167,81.8167,VS Villa
132,Tautira,PF,78.51,scattered clouds,-17.7333,-149.15,Pension Oaoa
